គោត្តនាម និងនាម,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
កាន សុធិរាជ,1,2,2,1,1,1,0,1,0,1,2,2,2,0,1,0,1
ទ្រី ថារ៉ូ,2,1,1,0,2,1,1,1,1,0,0,0,2,1,0,1,2
ធិន ធៀងរ៉ា,3,1,0,2,2,2,0,1,0,1,0,1,1,2,1,0,1
ធឿត ស្រីឡាង,4,1,0,2,1,1,0,0,1,2,2,1,2,2,0,2,2
ប៉េង សេងសិលា,5,1,2,0,0,0,1,2,2,2,0,1,1,2,0,0,2
រស់ សុគន្ធា,6,0,0,0,1,2,1,2,0,1,2,1,0,2,0,2,0
លី សៀវម៉ី,7,0,0,1,0,1,2,1,2,2,1,2,0,0,2,0,0
វ៉ិត ចន្តា,8,1,0,1,2,1,0,2,1,1,0,0,0,1,0,0,2
ស៊ីម ចំរើន,9,2,1,2,1,0,0,0,1,2,2,2,2,0,2,0,1
សុខ ចន្ទ្រា,10,2,1,0,2,1,1,1,2,1,1,2,0,2,0,2,0
សុន សារម៉ន,11,1,1,2,0,1,1,2,1,1,1,1,2,2,2,1,1
ស្រេង វិច្ឆិកា,12,0,0,2,2,1,1,2,0,1,1,2,0,2,2,0,0
ហ៊ុន សុភ័ក្រ្ត,13,1,1,1,1,1,0,1,2,1,0,2,1,2,0,1,2
ឡុច សាន់នី,14,2,2,0,0,0,2,2,2,2,0,1,2,2,0,0,2
ឡុន សៀកម៉ី,15,1,2,2,0,1,0,1,1,0,0,0,1,2,2,1,2
ឡេង ស្រីនូ,16,1,2,1,2,2,0,0,1,0,0,0,1,2,2,1,0
អ៊ា ពិសី,17,1,0,0,2,1,2,0,1,2,0,2,2,2,0,2,0
អ៉ី រីយ៉ា,18,0,1,0,2,1,0,1,0,0,1,0,2,2,0,2,1
អូន មួយស៊ាង,19,2,2,1,2,0,1,2,2,0,1,2,0,2,0,0,2
អូន សុលីណា,20,2,2,2,0,1,2,2,1,0,1,1,1,0,2,1,0
អឿន មួយលាង,21,2,1,2,1,0,0,1,1,1,2,2,0,2,0,2,0
អឿន ស្រីទី,22,1,1,1,1,0,1,1,1,2,1,0,2,0,2,0,0
អៀន ចាន់អ៉ីជូ,23,2,2,2,2,2,2,0,0,2,2,2,2,2,1,1,2
ឃីម លីអ៊ាង,24,0,0,0,0,1,1,0,1,1,1,2,1,1,2,1,1
កើត លិវយិង,25,1,1,0,1,2,1,1,1,1,1,1,0,0,1,1,2
